CHR	START	END	LENGTH	POS	geneIDs	gene.products	gene.GO.terms	iHS.PF	iHS.PF.FDR	iHS.L	iHS.L.FDR	iHS.OT	iHS.OT.FDR	iHS.V	iHS.V.FDR	iHS.NR	iHS.NR.FDR	xpEHH.OT_NR	xpEHH.OT_NR.FDR	xpEHH.OT_PF	xpEHH.OT_PF.FDR	xpEHH.OT_V	xpEHH.OT_V.FDR	xpEHH.OT_L	xpEHH.OT_L.FDR	xpEHH.NR_PF	xpEHH.NR_PF.FDR	xpEHH.NR_V	xpEHH.NR_V.FDR	xpEHH.NR_L	xpEHH.NR_L.FDR	xpEHH.PF_V	xpEHH.PF_V.FDR	xpEHH.PF_L	xpEHH.PF_L.FDR	xpEHH.V_L	xpEHH.V_L.FDR	Rsb.OT_NR	Rsb.OT_NR.FDR	Rsb.OT_PF	Rsb.OT_PF.FDR	Rsb.OT_V	Rsb.OT_V.FDR	Rsb.OT_L	Rsb.OT_L.FDR	Rsb.NR_PF	Rsb.NR_PF.FDR	Rsb.NR_V	Rsb.NR_V.FDR	Rsb.NR_L	Rsb.NR_L.FDR	Rsb.PF_V	Rsb.PF_V.FDR	Rsb.PF_L	Rsb.PF_L.FDR	Rsb.V_L	Rsb.V_L.FDR	is.cr.btwn.FDR.xpEHH	is.cr.wthn.FDR.xpEHH	is.cr.btwn.noFDR.xpEHH	is.cr.wthn.noFDR.xpEHH	is.cr.btwn.FDR.Rsb	is.cr.wthn.FDR.Rsb	is.cr.btwn.noFDR.Rsb	is.cr.wthn.noFDR.Rsb	is.soc.cr.FDR.xpEHH	is.soc.cr.noFDR.xpEHH	is.soc.cr.FDR.Rsb	is.soc.cr.noFDR.Rsb
62955	150000	200000	8800861	62955-150000:200000	g5658:g5659:g5660:g5661:g5662:g5662:g5663	Cleft lip and palate transmembrane protein 1 like protein:Uncharacterized protein:Uncharacterized protein:DDB1-and CUL4-associated factor 8:Uncharacterized protein:Uncharacterized protein:Alpha-13-mannosyltransferase ALG2	GO:0016021 - integral component of membrane::GO:0003951 - NAD+ kinase activity::GO:0003723 - RNA binding|GO:0006355 - regulation of transcription DNA-templated|GO:0046872 - metal ion binding:GO:0003723 - RNA binding|GO:0006355 - regulation of transcription DNA-templated|GO:0046872 - metal ion binding:GO:0004378 - GDP-Man:Man1GlcNAc2-PP-Dol alpha-13-mannosyltransferase activity|GO:0006486 - protein glycosylation	0	0	0	0	0	0	0	0	0	1	0	0	16	2	0	0	18	15	1	0	0	0	16	1	8	1	0	0	20	7	0	0	16	11	0	0	18	17	13	0	0	0	17	7	15	5	0	0	21	17	1	0	1	0	1	0	1	0	1	1	1	1
62795	50000	100000	1239320	62795-50000:100000	g4968	Uncharacterized protein	GO:0003676 - nucleic acid binding|GO:0008270 - zinc ion binding|GO:0015074 - DNA integration	0	0	0	0	10	0	0	0	1	0	19	2	17	7	7	0	11	5	0	0	2	0	0	0	9	1	0	0	8	1	10	0	18	6	11	2	10	3	4	0	0	0	2	0	9	6	2	0	7	1	1	0	1	0	1	0	1	1	1	1	1	0
62851	550000	600000	636744	62851-550000:600000	g913:g913	Lachesin:Lachesin	:	0	0	0	0	0	0	3	1	0	7	0	0	13	2	0	0	11	1	37	3	0	0	38	7	42	7	0	0	32	11	3	0	23	4	0	0	16	4	42	8	0	0	38	10	44	18	0	0	37	17	1	0	1	0	1	0	1	0	1	1	1	1
62978	3950000	4000000	9317303	62978-3950000:4000000	g18250:g18251:g18252:g18253:g18253:g18254:g18255:g18255:g18256	Uncharacterized protein:HEAT repeat-containing protein 1:Uncharacterized protein:Ketohexokinase:Ketohexokinase:Uncharacterized protein:Epidermal retinol dehydrogenase 2:Epidermal retinol dehydrogenase 2:Uncharacterized protein	:::GO:0004454 - ketohexokinase activity|GO:0006000 - fructose metabolic process:GO:0004454 - ketohexokinase activity|GO:0006000 - fructose metabolic process::GO:0016021 - integral component of membrane:GO:0016021 - integral component of membrane:GO:0016021 - integral component of membrane	0	0	0	0	0	0	2	0	0	0	5	0	23	0	12	0	19	1	6	0	4	0	6	0	18	0	0	0	22	1	12	0	20	0	10	0	23	2	5	0	13	0	3	0	13	1	0	0	21	4	0	0	1	0	0	0	1	0	0	1	0	1
62955	550000	600000	8800861	62955-550000:600000	g5689:g5689:g5692:g5692:g5693:g5694:g5695:g5696:g5697:g5698:g5699	Protein enabled:Protein enabled:Uncharacterized protein:Uncharacterized protein:Heterogeneous nuclear ribonucleoprotein U-like protein 1:Uncharacterized protein:Uncharacterized protein:Uncharacterized protein:Uncharacterized protein:Uncharacterized protein:Uncharacterized protein	::GO:0003677 - DNA binding|GO:0003682 - chromatin binding|GO:0005634 - nucleus|GO:0018024 - histone-lysine N-methyltransferase activity|GO:0046872 - metal ion binding:GO:0003677 - DNA binding|GO:0003682 - chromatin binding|GO:0005634 - nucleus|GO:0018024 - histone-lysine N-methyltransferase activity|GO:0046872 - metal ion binding:::::GO:0016021 - integral component of membrane:GO:0016021 - integral component of membrane:	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	7	0	0	0	2	1	0	0	2	0	0	0	3	2	4	1	4	0	0	0	7	1	0	0	2	2	0	0	2	0	0	0	4	1	0	0	1	0	0	0	1	0	0	1	0	1
62955	650000	700000	8800861	62955-650000:700000	g5700:g5701:g5702:g5703:g5704:g5705:g5706:g5707:g5708:g5709:g5710:g5711:g5712:g5713:g5714:g5715:g5717	IQ and AAA domain-containing protein 1:Leucine-rich repeat-containing protein 70:Adenine phosphoribosyltransferase:WD repeat-containing protein 67:DET1-and DDB1-associated protein 1:Protein tamozhennic:Activating signal cointegrator 1:HEAT repeat-containing protein 3:Uncharacterized protein:Uncharacterized protein:Solute carrier family 12 member 9:Putative trans-2-enoyl-CoA reductase mitochondrial:Protein OSCP1:SET and MYND domain-containing protein 4:Protein 5NUC:Uncharacterized protein:Uncharacterized protein	GO:0005524 - ATP binding:GO:0016021 - integral component of membrane:GO:0003999 - adenine phosphoribosyltransferase activity|GO:0005737 - cytoplasm|GO:0006168 - adenine salvage|GO:0009116 - nucleoside metabolic process::GO:0032434 - regulation of proteasomal ubiquitin-dependent protein catabolic process:GO:0007275 - multicellular organism development|GO:0015031 - protein transport|GO:0046872 - metal ion binding:GO:0005634 - nucleus|GO:0006355 - regulation of transcription DNA-templated|GO:0008270 - zinc ion binding::::GO:0005215 - transporter activity|GO:0006811 - ion transport|GO:0016021 - integral component of membrane|GO:0055085 - transmembrane transport:GO:0016491 - oxidoreductase activity:::GO:0000166 - nucleotide binding|GO:0009166 - nucleotide catabolic process|GO:0016788 - hydrolase activity acting on ester bonds|GO:0046872 - metal ion binding:GO:0000166 - nucleotide binding|GO:0009166 - nucleotide catabolic process|GO:0016788 - hydrolase activity acting on ester bonds|GO:0046872 - metal ion binding:	0	0	0	0	2	0	0	0	0	0	37	4	12	0	0	0	13	0	0	0	23	0	0	0	2	0	0	0	3	0	37	2	7	0	0	0	8	0	0	0	20	1	0	0	4	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	1
62955	3800000	3850000	8800861	62955-3800000:3850000	NA	NA	NA	0	0	0	0	0	0	0	0	0	4	2	0	1	0	0	0	4	0	0	0	2	0	7	4	1	0	7	6	1	0	0	0	0	0	1	0	2	0	0	0	5	1	5	2	5	1	9	6	0	0	0	0	1	0	0	0	0	1	0	1	0	0
63083	5400000	5450000	6956264	63083-5400000:5450000	g15230:g15231:g15231:g15232	Uncharacterized protein:Uncharacterized protein:Uncharacterized protein:Uncharacterized protein	:::	0	0	0	0	0	0	3	0	0	0	1	0	7	0	0	0	9	0	0	0	0	0	0	0	3	0	0	0	5	0	1	0	3	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	1	0	0	0	1	0	0	1	0	1
63083	6900000	6950000	6956264	63083-6900000:6950000	g15382	Uncharacterized protein		0	0	0	0	1	0	2	0	1	0	0	0	11	0	0	0	15	0	17	0	0	0	18	0	14	0	0	0	12	0	0	0	10	0	0	0	10	0	19	0	0	0	16	0	16	0	0	0	10	0	0	0	1	0	0	0	1	0	0	1	0	1
62952	500000	550000	6783701	62952-500000:550000	g1549:g1551	A0A151XA34 Delta-like protein OS=Trachymyrmex zeteki OX=64791 GN=ALC60_03865 PE=4 SV=1:Uncharacterized protein	GO:0005509 - calcium ion binding|GO:0007219 - Notch signaling pathway|GO:0007275 - multicellular organism development|GO:0016021 - integral component of membrane:	0	0	0	0	1	0	0	0	1	2	0	0	6	0	0	0	12	0	6	0	0	0	15	2	6	0	0	0	6	0	0	0	8	0	0	0	9	0	8	1	0	0	12	1	5	0	0	0	4	1	0	0	1	0	0	0	1	0	0	1	0	1
